Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Edyta Marciniszyn,F,SBD,Raw,26,24-34,24-39,Open,67.85,69,155,165,,,165,80,85,-87.5,,85,155,165,-170,,165,415,21,427.17,421.99,372.22,86.80,Yes,Poland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Agata Markowska,F,SBD,Raw,23.5,24-34,24-39,Open,54.5,57,105,110,115,,115,70,72.5,-75,,72.5,135,142.5,-150,,142.5,330,28,389.51,396.63,351.05,80.15,Yes,Poland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Agata Sitko,F,SBD,Raw,20.5,20-23,19-23,Open,75.6,76,190,195,197.5,,197.5,145,153,-156,,153,220,230,240,,240,590.5,2,572.73,558.58,491.20,116.71,Yes,Poland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Marika Zandecka,F,SBD,Raw,27.5,24-34,24-39,Open,68.75,69,180,187.5,195,,195,97.5,102.5,-105,,102.5,197.5,207.5,-212.5,,207.5,505,7,515.91,508.74,448.62,104.83,Yes,Poland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Angelika Szaro,F,SBD,Raw,24.5,24-34,24-39,Open,62.7,63,112.5,117.5,-122.5,,117.5,65,-67.5,67.5,,67.5,155,162.5,-167.5,,162.5,347.5,17,374.83,374.55,330.76,76.26,Yes,Poland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Łukasz Nizio,M,SBD,Raw,30.5,24-34,24-39,Open,137.25,120+,290,310,322.5,,322.5,175,190,-200,,190,280,305,-330,,305,817.5,17,450.53,458.21,436.15,89.82,Yes,Poland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jacek Juszczyk,M,SBD,Raw,28.5,24-34,24-39,Open,134.35,120+,300,315,322.5,,322.5,210,217.5,-222.5,,217.5,-300,300,-315,,300,840,16,465.79,472.43,450.32,93.10,Yes,Poland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mateusz Grzesik,M,SBD,Raw,33.5,24-34,24-39,Open,119.8,120,300,-310,-315,,300,202.5,207.5,-210,,207.5,75,,,,75,582.5,24,334.72,335.02,321.03,67.76,Yes,Poland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Sean Koch,M,SBD,Raw,22,20-23,19-23,Open,160.95,120+,367.5,387.5,-400,,387.5,220,235,-240,,235,300,320,335,,335,957.5,5,505.40,524.45,491.84,99.03,Yes,Switzerland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Rene Caky,M,SBD,Raw,22,20-23,19-23,Open,104.1,105,270,,300,,300,210,-220,-220,,210,290,320,330,,330,840,8,508.37,503.48,480.75,104.13,Yes,Switzerland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jacqueline Ulrich,F,SBD,Raw,27,24-34,24-39,Open,56.3,57,150,155,160,,160,85,90,92.5,,92.5,-170,170,177.5,,177.5,430,10,496.66,503.83,445.61,101.81,Yes,Germany,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Malgorzata Becker,F,SBD,Raw,33.5,24-34,24-39,Open,74.9,76,150,155,-157.5,,155,90,-92.5,,,90,180,190,200,,200,445,24,433.73,423.39,372.45,88.35,Yes,Switzerland,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Kristóf Bence Budai,M,SBD,Raw,23.5,24-34,24-39,Open,116.7,120,280,300,310,,310,175,190,200,,200,300,312.5,325,,325,835,12,484.10,483.33,462.88,98.26,Yes,Hungary,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Gavin Adin,M,SBD,Raw,24.5,24-34,24-39,Open,92.45,93,-302.5,310,-325,,310,197.5,210,220,,220,310,330,-342.5,,330,860,5,548.75,541.78,518.66,112.83,Yes,USA,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Monique Boddie,F,SBD,Raw,41,40-44,40-49,Open,112.1,84+,200,207.5,212.5,,212.5,130,135,-137.5,,135,230,-237.5,-237.5,,230,577.5,8,473.07,467.72,397.80,100.26,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Levent Erdem,M,SBD,Raw,24.5,24-34,24-39,Open,110.15,120,220,232.5,237.5,,237.5,142.5,147.5,152.5,,152.5,-270,-270,-270,,-270,,DQ,,,,,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Joseph Jordan #2,M,SBD,Raw,34.5,24-34,24-39,Open,73.5,74,255,-265,-265,,255,160,167.5,-172.5,,167.5,270,280,-285,,280,702.5,13,510.62,507.77,491.05,103.50,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Andrea Riley,F,SBD,Raw,34.5,24-34,24-39,Open,56.95,57,172.5,-177.5,177.5,,177.5,87.5,92.5,-95,,92.5,182.5,-192.5,-205,,182.5,452.5,6,518.72,525.44,464.62,106.21,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Alex Dennis,M,SBD,Raw,37,35-39,24-39,Open,101.95,105,220,227.5,-240,,227.5,157.5,167.5,-180,,167.5,245,260,-275,,260,655,29,399.85,395.64,377.79,81.99,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Garmez Parks,M,SBD,Raw,57.5,55-59,50-59,Open,110,120,205,212.5,222.5,,222.5,150,157.5,165,,165,242.5,255,265,,265,652.5,23,386.45,383.99,367.00,78.85,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Desiree Wilkins,F,SBD,Raw,29.5,24-34,24-39,Open,91.85,84+,182.5,187.5,192.5,,192.5,82.5,92.5,95,,95,182.5,195,-215,,195,482.5,10,426.36,413.51,358.71,88.25,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Cassie Bordes,F,SBD,Raw,35,35-39,24-39,Open,82.6,84,145,155,-170,,155,75,85,-90,,85,175,-190,-190,,175,415,18,384.95,373.25,326.69,78.90,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Deshawn Larrimore,F,SBD,Raw,32,24-34,24-39,Open,62.2,63,-140,140,142.5,,142.5,-72.5,72.5,-75,,72.5,172.5,175,-185,,175,390,13,422.74,422.93,373.51,86.04,Yes,US Virgin Islands,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Julien Balangwe Bakinien,M,SBD,Raw,36.5,35-39,24-39,Open,92.65,93,280,-290,-290,,280,175,185,-190,,185,290,315,325,,325,790,12,503.55,497.16,475.91,103.54,Yes,Cameroon,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Mohammed Al Masoud,M,SBD,Raw,24,24-34,24-39,Open,92.15,93,255,-270,270,,270,145,155,160,,160,290,310,320,,320,750,26,479.31,473.22,453.08,98.56,Yes,Saudi Arabia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Saleh Shetewi,M,SBD,Raw,23,20-23,24-39,Open,82.65,83,235,250,-262.5,,250,142.5,147.5,150,,150,250,267.5,282.5,,282.5,682.5,23,461.85,456.71,439.41,94.68,Yes,Saudi Arabia,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Vilma Olsson,F,SBD,Raw,24,24-34,24-39,Open,73.95,76,195,202.5,210,,210,110,115,-120,,115,180,200,-205,,200,525,8,515.19,503.56,443.18,104.88,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Jack Söderberg,M,SBD,Raw,26.5,24-34,24-39,Open,82.65,83,265,277.5,285,,285,185,195,-200,,195,295,307.5,-315,,307.5,787.5,7,532.90,526.98,507.02,109.24,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Carl Johansson,M,SBD,Raw,22,20-23,19-23,Open,73.65,74,252.5,262.5,267.5,,267.5,170,177.5,182.5,,182.5,305,320,328,,328,778,1,564.74,561.52,542.98,114.50,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
Emil Norling,M,SBD,Raw,26.5,24-34,24-39,Open,104.7,105,315,325,-327.5,,325,200,207.5,210,,210,345,360,370,,370,905,2,546.43,541.33,516.91,111.88,Yes,Sweden,,IPF,IPF,2023-06-11,Malta,,St. Julians,World Classic Powerlifting Championships
